"module_name","gate_counts","area_math","total_area","delay_math","total_delay","static_power_math","total_static_power"
"pipelined_addsub","1 a21o_1, 3 a21oi_1, 5 a31oi_1, 3 and2_0, 1 and3_1, 6 and4_1, 167 clkinv_1, 162 dfrtp_1, 27 nand2_1, 2 nand2b_1, 6 nand3_1, 8 nand4_1, 16 nor2_1, 5 nor3_1, 6 nor4_1, 5 o21a_1, 10 o21ai_0, 8 o31ai_1, 1 o41ai_1, 1 or2_0, 1 or3_1, 6 or4_1, 76 xnor2_1, 37 xor2_1","1*7.51 + 3*5.0 + 5*6.26 + 3*6.26 + 1*6.26 + 6*8.76 + 167*3.75 + 162*25.02 + 27*3.75 + 2*6.26 + 6*5.0 + 8*6.26 + 16*3.75 + 5*5.0 + 6*6.26 + 5*7.51 + 10*5.0 + 8*7.51 + 1*8.76 + 1*6.26 + 1*6.26 + 6*7.51 + 76*8.76 + 37*8.76",6331.16,"0.36 + 0.27 + 0.21 + 0.55 + 0.26 + 0.57 + 0.26 + 0.49 + 0.24 + 0.48 + 0.24 + 0.43 + 0.11 + 0.14",4.61,"1*5.9 + 3*1.65 + 5*1.48 + 3*1.92 + 1*5.59 + 6*3.4 + 167*1.57 + 162*11.65 + 27*2.12 + 2*2.25 + 6*1.03 + 8*0.53 + 16*1.97 + 5*0.93 + 6*0.5 + 5*2.21 + 10*1.04 + 8*1.7 + 1*1.39 + 1*1.26 + 1*1.28 + 6*0.85 + 76*2.07 + 37*4.28",2670.58
"adc_data_fifo","1 a211oi_1, 3 a21boi_0, 5 a21oi_1, 4 a221oi_1, 36 a222oi_1, 4 a22o_1, 27 a22oi_1, 4 a31oi_1, 1 a41oi_1, 2 and4_1, 4 and4b_1, 20 clkinv_1, 20 dfrtp_1, 192 dfxtp_1, 192 mux2_1, 25 nand2_1, 3 nand2b_1, 17 nand3_1, 1 nand3b_1, 9 nand4_1, 26 nor2_1, 4 nor3_1, 2 nor4_1, 5 nor4b_1, 6 nor4bb_1, 4 o22a_1, 1 or3_1, 1 or4_1, 11 xnor2_1, 2 xor2_1","1*7.51 + 3*7.51 + 5*5.0 + 4*8.76 + 36*10.01 + 4*8.76 + 27*7.51 + 4*6.26 + 1*8.76 + 2*8.76 + 4*10.01 + 20*3.75 + 20*25.02 + 192*20.02 + 192*11.26 + 25*3.75 + 3*6.26 + 17*5.0 + 1*7.51 + 9*6.26 + 26*3.75 + 4*5.0 + 2*6.26 + 5*8.76 + 6*10.01 + 4*8.76 + 1*6.26 + 1*7.51 + 11*8.76 + 2*8.76",8018.72,"0.56 + 0.16 + 1.27 + 0.22 + 0.18",2.39,"1*0.98 + 3*2.48 + 5*1.65 + 4*1.78 + 36*2.43 + 4*4.06 + 27*2.58 + 4*1.48 + 1*1.36 + 2*3.4 + 4*5.99 + 20*1.57 + 20*11.65 + 192*8.44 + 192*4.03 + 25*2.12 + 3*2.25 + 17*1.03 + 1*1.4 + 9*0.53 + 26*1.97 + 4*0.93 + 2*0.5 + 5*0.91 + 6*3.2 + 4*2.76 + 1*1.28 + 1*0.85 + 11*2.07 + 2*4.28",3101.47
"reverse_byte_order","1 conb_1, 4 maj3_1, 6 xnor2_1, 1 xor3_1","1*3.75 + 4*10.01 + 6*8.76 + 1*23.77",120.12,"0.37 + 0.39 + 0.39 + 0.33",1.48,"1*3.24 + 4*2.09 + 6*2.07 + 1*15.22",39.24
"up_counter","2 a21oi_1, 1 a41oi_1, 1 and3_1, 4 dfxtp_1, 1 nor2_1, 1 nor3_1, 1 o21a_1, 1 o21bai_1","2*5.0 + 1*8.76 + 1*6.26 + 4*20.02 + 1*3.75 + 1*5.0 + 1*7.51 + 1*7.51",128.87,"0.31 + 0.17 + 0.15",0.63,"2*1.65 + 1*1.36 + 1*5.59 + 4*8.44 + 1*1.97 + 1*0.93 + 1*2.21 + 1*2.87",51.99
"sirv_spigpioport_1","4 clkinv_1, 2 conb_1","4*3.75 + 2*3.75",22.5,"0.02",0.02,"4*1.57 + 2*3.24",12.76
"sky130_fd_sc_hd__nand4b","1 nand4b_1","1*8.76",8.76,"0.11",0.11,"1*1.03",1.03
"pipelined_xor_gate","3 dfxtp_1, 2 xor2_1","3*20.02 + 2*8.76",77.58,"0.28 + 0.14",0.42,"3*8.44 + 2*4.28",33.88
"up_drp_cntrl","1 a21oi_1, 28 and2_0, 1 clkinv_1, 23 dfrtp_1, 51 dfxtp_1, 32 mux2_1, 5 nor2b_1, 1 xnor2_1, 3 xor2_1","1*5.0 + 28*6.26 + 1*3.75 + 23*25.02 + 51*20.02 + 32*11.26 + 5*6.26 + 1*8.76 + 3*8.76",2207.17,"0.27 + 0.84 + 0.38",1.49,"1*1.65 + 28*1.92 + 1*1.57 + 23*11.65 + 51*8.44 + 32*4.03 + 5*2.18 + 1*2.07 + 3*4.28",910.14
"top_module","1 a21boi_0, 2 o211a_1","1*7.51 + 2*10.01",27.53,"0.19 + 0.09",0.28,"1*2.48 + 2*10.66",23.8
"RAM1","1 a211o_1, 17 a21oi_1, 1 a22o_1, 4 a22oi_1, 1 a31oi_1, 1 a32oi_1, 2 and2_0, 1 and3_1, 1 and4_1, 1 and4b_1, 6 clkinv_1, 2067 dfxtp_1, 2051 mux2_1, 26 mux2i_1, 524 mux4_2, 30 nand2_1, 3 nand2b_1, 5 nand3_1, 1 nand3b_1, 2 nand4b_1, 1 nand4bb_1, 234 nor2_1, 4 nor2b_1, 11 nor3_1, 2 nor3b_1, 2 nor4_1, 2 o211a_1, 59 o21a_1, 207 o21ai_0, 1 o221a_1, 58 o221ai_1, 50 o22ai_1, 1 o32ai_1, 1 or2_0, 1 or3_1","1*8.76 + 17*5.0 + 1*8.76 + 4*7.51 + 1*6.26 + 1*8.76 + 2*6.26 + 1*6.26 + 1*8.76 + 1*10.01 + 6*3.75 + 2067*20.02 + 2051*11.26 + 26*10.01 + 524*22.52 + 30*3.75 + 3*6.26 + 5*5.0 + 1*7.51 + 2*8.76 + 1*11.26 + 234*3.75 + 4*6.26 + 11*5.0 + 2*7.51 + 2*6.26 + 2*10.01 + 59*7.51 + 207*5.0 + 1*11.26 + 58*8.76 + 50*6.26 + 1*8.76 + 1*6.26 + 1*6.26",80273.35,"19.27 + 2.56 + 0.14 + 0.25 + 0.17",22.39,"1*3.14 + 17*1.65 + 1*4.06 + 4*2.58 + 1*1.48 + 1*1.25 + 2*1.92 + 1*5.59 + 1*3.4 + 1*5.99 + 6*1.57 + 2067*8.44 + 2051*4.03 + 26*5.89 + 524*6.37 + 30*2.12 + 3*2.25 + 5*1.03 + 1*1.4 + 2*1.03 + 1*1.9 + 234*1.97 + 4*2.18 + 11*0.93 + 2*1.3 + 2*0.5 + 2*10.66 + 59*2.21 + 207*1.04 + 1*2.73 + 58*1.09 + 50*1.31 + 1*1.09 + 1*1.26 + 1*1.28",30345.03
"var25_multi","4 a211oi_1, 6 a21o_1, 18 a21oi_1, 2 a221oi_1, 2 a2bb2oi_1, 4 a31oi_1, 1 a32o_1, 1 a41oi_1, 10 and2_0, 4 and3_1, 16 clkinv_1, 98 maj3_1, 4 mux2i_1, 44 nand2_1, 4 nand2b_1, 9 nand3_1, 1 nand4_1, 1 nand4bb_1, 35 nor2_1, 11 nor2b_1, 1 nor3_1, 2 nor4_1, 1 nor4b_1, 2 o211ai_1, 2 o21a_1, 13 o21ai_0, 1 o21bai_1, 1 o22a_1, 5 o22ai_1, 1 o2bb2ai_1, 1 o31ai_1, 5 or2_0, 3 or3_1, 83 xnor2_1, 45 xnor3_1, 66 xor2_1, 33 xor3_1","4*7.51 + 6*7.51 + 18*5.0 + 2*8.76 + 2*8.76 + 4*6.26 + 1*10.01 + 1*8.76 + 10*6.26 + 4*6.26 + 16*3.75 + 98*10.01 + 4*10.01 + 44*3.75 + 4*6.26 + 9*5.0 + 1*6.26 + 1*11.26 + 35*3.75 + 11*6.26 + 1*5.0 + 2*6.26 + 1*8.76 + 2*7.51 + 2*7.51 + 13*5.0 + 1*7.51 + 1*8.76 + 5*6.26 + 1*8.76 + 1*7.51 + 5*6.26 + 3*6.26 + 83*8.76 + 45*22.52 + 66*8.76 + 33*23.77",5203.57,"0.37 + 0.43 + 0.38 + 0.41 + 0.42 + 0.16 + 0.2 + 0.25 + 0.18 + 0.07 + 0.25 + 0.21",3.33,"4*0.98 + 6*5.9 + 18*1.65 + 2*1.78 + 2*3.38 + 4*1.48 + 1*2.3 + 1*1.36 + 10*1.92 + 4*5.59 + 16*1.57 + 98*2.09 + 4*5.89 + 44*2.12 + 4*2.25 + 9*1.03 + 1*0.53 + 1*1.9 + 35*1.97 + 11*2.18 + 1*0.93 + 2*0.5 + 1*0.91 + 2*0.7 + 2*2.21 + 13*1.04 + 1*2.87 + 1*2.76 + 5*1.31 + 1*1.85 + 1*1.7 + 5*1.26 + 3*1.28 + 83*2.07 + 45*15.62 + 66*4.28 + 33*15.22",2298.39
"data_forwarding_unit","2 a2111oi_0, 2 a211oi_1, 33 a21oi_1, 2 a221o_1, 30 a22oi_1, 1 and2_0, 1 and3_1, 2 and4_1, 6 clkinv_1, 2 mux2_1, 89 mux2i_1, 2 nand2_1, 8 nand2b_1, 5 nand3_1, 2 nand4_1, 5 nor2_1, 7 nor2b_1, 36 nor3_1, 1 nor4_1, 2 o221ai_1, 62 o22a_1, 1 o22ai_1, 2 o2bb2ai_1, 1 o32a_1, 4 or2_0, 2 or3_1, 9 xnor2_1, 11 xor2_1","2*8.76 + 2*7.51 + 33*5.0 + 2*10.01 + 30*7.51 + 1*6.26 + 1*6.26 + 2*8.76 + 6*3.75 + 2*11.26 + 89*10.01 + 2*3.75 + 8*6.26 + 5*5.0 + 2*6.26 + 5*3.75 + 7*6.26 + 36*5.0 + 1*6.26 + 2*8.76 + 62*8.76 + 1*6.26 + 2*8.76 + 1*10.01 + 4*6.26 + 2*6.26 + 9*8.76 + 11*8.76",2559.93,"0.13 + 1.71 + 0.17 + 1.92 + 0.24",4.17,"2*0.42 + 2*0.98 + 33*1.65 + 2*2.66 + 30*2.58 + 1*1.92 + 1*5.59 + 2*3.4 + 6*1.57 + 2*4.03 + 89*5.89 + 2*2.12 + 8*2.25 + 5*1.03 + 2*0.53 + 5*1.97 + 7*2.18 + 36*0.93 + 1*0.5 + 2*1.09 + 62*2.76 + 1*1.31 + 2*1.85 + 1*1.66 + 4*1.26 + 2*1.28 + 9*2.07 + 11*4.28",1036.79
"fsm","1 buf_1, 2 dfxtp_1, 1 mux4_2","1*3.75 + 2*20.02 + 1*22.52",66.31,"0.32 + 0.48",0.8,"1*1.18 + 2*8.44 + 1*6.37",24.43
